id,salary_in_usd
0,26352
1,40574
2,68759
3,74733
4,32611
5,54330
6,60451
7,38959
8,24985
9,16435
10,53629
11,91946
12,42541
13,31659
14,36731
15,82320
16,37558
17,61384
18,94064
19,37610
20,78400
21,25377
22,38738
23,56442
24,63754
25,78785
26,14026
27,65365
28,79282
29,32951
30,31229
31,79474
32,6813
33,53402
34,76592
35,91397
36,22283
37,26020
38,65010
39,51287
40,55470
41,93733
42,72521
43,80104
44,87734
45,46894
46,75332
47,9859
48,49496
49,95024
50,63705
51,56640
52,55893
53,71759
54,9502
55,43727
56,95316
57,45848
58,30876
59,12722
60,63060
61,70341
62,7210
63,45205
64,54730
65,28807
66,64521
67,64619
68,20716
69,30355
70,74758
71,23708
72,45652
73,15275
74,48645
75,38855
76,86492
77,24010
78,84286
79,11144
80,55315
81,56361
82,14595
83,94943
84,22756
85,56337
86,5669
87,96971
88,65348
89,32538
90,52925
91,79054
92,6239
93,66550
94,82661
95,23098
96,86503
97,35418
98,14154
99,47638
100,86680
101,38464
102,83373
103,57827
104,31053
105,39725
106,29361
